departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
CAUCA,19,SANTA ROSA,19701,Rural,Area General,2006,3,Mayor de 18 años,No,Fuerza pública,Muerto,Masculino,1.393,-76.515,Accidente por MAP,"(1.393, -76.515)",Fuerza pública
CAUCA,19,SANTA ROSA,19701,Rural,Area General,2006,3,Mayor de 18 años,No,Fuerza pública,Muerto,Masculino,1.393,-76.515,Accidente por MAP,"(1.393, -76.515)",Fuerza pública
ANTIOQUIA,5,ANORÍ,5040,Rural,Vereda Montebello,2007,3,Mayor de 18 años,No,Fuerza pública,Muerto,Masculino,6.995556,-75.196667,Accidente por MAP,"(6.995556, -75.196667)",Fuerza pública
CAUCA,19,SANTA ROSA,19701,Rural,El Carmelo,2004,3,Mayor de 18 años,No,Civil,Muerto,Masculino,1.763333,-76.613611,Accidente por MAP,"(1.763333, -76.613611)",Sin Información
CAUCA,19,SANTA ROSA,19701,Rural,El Carmelo,2004,3,Mayor de 18 años,No,Civil,Muerto,Masculino,1.763333,-76.613611,Accidente por MAP,"(1.763333, -76.613611)",Sin Información
BOYACA,15,CHISCAS,15180,Rural,Sin información,1994,3,Menor de 18 años,No,Civil,Herido,Masculino,6.552993,-72.500215,Accidente por MAP,"(6.552993, -72.500215)","Pasando, estando cerca"
BOYACA,15,CHISCAS,15180,Rural,Sin información,1994,3,Menor de 18 años,No,Civil,Herido,Masculino,6.552993,-72.500215,Accidente por MAP,"(6.552993, -72.500215)","Pasando, estando cerca"
CASANARE,85,CHÁMEZA,85015,Rural,Sitio La Olleta,2003,8,Mayor de 18 años,No,Fuerza pública,Muerto,Masculino,5.214621,-72.869693,Accidente por MAP,"(5.214621, -72.869693)",Fuerza pública
SANTANDER,68,BUCARAMANGA,68001,Urbana,Finca El Diamante,2000,10,Menor de 18 años,No,Civil,Herido,Masculino,7.105141468,-73.11699582,Accidente por MUSE,"(7.105141468, -73.11699582)",Sin Información
NORTE DE SANTANDER,54,CONVENCIÓN,54206,Rural,Sin información,2002,8,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,8.604722,-73.320833,Accidente por MAP,"(8.604722, -73.320833)",Fuerza pública
NORTE DE SANTANDER,54,CONVENCIÓN,54206,Rural,Sin información,2002,8,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,8.604722,-73.320833,Accidente por MAP,"(8.604722, -73.320833)",Fuerza pública
MAGDALENA,47,CIÉNAGA,47189,Rural,Corregimiento San Pedro De La Sierra,2001,7,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,10.99492,-74.225174,Accidente por MAP,"(10.99492, -74.225174)",Fuerza pública
CAQUETA,18,SAN VICENTE DEL CAGUÁN,18753,Rural,El Pescado,2007,6,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,2.4575,-74.958889,Accidente por MAP,"(2.4575, -74.958889)",Fuerza pública
NORTE DE SANTANDER,54,TIBÚ,54810,Rural,Sin información,2003,2,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,8.639326,-72.735541,Accidente por MAP,"(8.639326, -72.735541)",Fuerza pública
PUTUMAYO,86,VALLE DEL GUAMUEZ,86865,Rural,Veredas Miraflores Y El Placer,2002,4,Mayor de 18 años,No,Fuerza pública,Muerto,Masculino,0.424591,-76.905657,Accidente por MAP,"(0.424591, -76.905657)",Fuerza pública
TOLIMA,73,PLANADAS,73555,Rural,Vereda San Joaquin,2005,9,Mayor de 18 años,No,Fuerza pública,Muerto,Masculino,3.156944,-75.656667,Accidente por MAP,"(3.156944, -75.656667)",Fuerza pública
SANTANDER,68,BUCARAMANGA,68001,Rural,Sin información,2001,4,Menor de 18 años,No,Civil,Herido,Masculino,7.105141468,-73.11699582,Accidente por MAP,"(7.105141468, -73.11699582)",Fuerza pública
ANTIOQUIA,5,EL BAGRE,5250,Rural,Sin información,1999,5,Mayor de 18 años,No,Civil,Herido,Masculino,7.597383,-74.809065,Accidente por MAP,"(7.597383, -74.809065)",Sin Información
BOLIVAR,13,ZAMBRANO,13894,Rural,Vía Que Conduce A El Carmen De Bolívar,2003,10,Menor de 18 años,No,Civil,Muerto,Sin Información,9.733253,-74.832099,Accidente por MAP,"(9.733253, -74.832099)","Recogiendo comida, agua ó  madera"
BOLIVAR,13,ZAMBRANO,13894,Rural,Vía Que Conduce A El Carmen De Bolívar,2003,10,Menor de 18 años,No,Civil,Herido,Sin Información,9.733253,-74.832099,Accidente por MAP,"(9.733253, -74.832099)","Recogiendo comida, agua ó  madera"
ARAUCA,81,ARAUCA,81001,Rural,Vereda San Jose De Lipa,2007,6,Mayor de 18 años,No,Civil,Herido,Masculino,7.087606,-70.75831,Accidente por MAP,"(7.087606, -70.75831)","Pasando, estando cerca"
META,50,VISTAHERMOSA,50711,Rural,Vereda Santo Domingo,2005,3,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,2.88,-73.786,Accidente por MAP,"(2.88, -73.786)",Fuerza pública
META,50,VISTAHERMOSA,50711,Rural,Vereda Santo Domingo,2005,3,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,2.88,-73.786,Accidente por MAP,"(2.88, -73.786)",Fuerza pública
BOLIVAR,13,SAN PABLO,13670,Rural,Vereda Aguas Lindas,2001,6,Mayor de 18 años,No,Civil,Herido,Masculino,7.483919,-73.933361,Accidente por MAP,"(7.483919, -73.933361)",Agricultura
ANTIOQUIA,5,SAN LUIS,5660,Rural,Vereda La Salambrina,2006,6,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,6.042723,-74.994899,Accidente por MAP,"(6.042723, -74.994899)",Fuerza pública
ANTIOQUIA,5,SAN LUIS,5660,Rural,Vereda El Pescado,2006,3,Mayor de 18 años,No,Civil,Herido,Masculino,6.042723,-74.994899,Accidente por MAP,"(6.042723, -74.994899)",Agricultura
NARIÑO,52,RICAURTE,52612,Rural,Resguardo De Magui,2007,4,Mayor de 18 años,Indigena,Civil,Muerto,Masculino,1.212529,-77.995412,Accidente por MAP,"(1.212529, -77.995412)","Pasando, estando cerca"
CALDAS,17,MANIZALES,17001,Rural,Vereda La Campiña,2006,5,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,5.055732,-75.489517,Accidente por MAP,"(5.055732, -75.489517)",Fuerza pública
LA GUAJIRA,44,DIBULLA,44090,Rural,Cuenca Del Río Palomino,2006,3,Mayor de 18 años,Indigena,Civil,Muerto,Femenino,11.267972,-73.306402,Accidente por MAP,"(11.267972, -73.306402)","Pasando, estando cerca"
LA GUAJIRA,44,DIBULLA,44090,Rural,Cuenca Del Río Palomino,2006,3,Mayor de 18 años,Indigena,Civil,Muerto,Masculino,11.267972,-73.306402,Accidente por MAP,"(11.267972, -73.306402)","Pasando, estando cerca"
ARAUCA,81,TAME,81794,Rural,Sitio La Cosecha,2004,1,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,6.461209,-71.730855,Accidente por MAP,"(6.461209, -71.730855)",Fuerza pública
ARAUCA,81,TAME,81794,Rural,Sitio La Cosecha,2004,1,Mayor de 18 años,No,Fuerza pública,Herido,Masculino,6.461209,-71.730855,Accidente por MAP,"(6.461209, -71.730855)",Fuerza pública
CAUCA,19,BOLÍVAR,19100,Rural,Sin información,2005,1,Mayor de 18 años,No,Civil,Herido,Masculino,1.834892,-76.966372,Accidente por MAP,"(1.834892, -76.966372)",Sin Información
CAUCA,19,BOLÍVAR,19100,Rural,Sin información,2005,1,Mayor de 18 años,No,Civil,Herido,Masculino,1.834892,-76.966372,Accidente por MAP,"(1.834892, -76.966372)",Sin Información
ANTIOQUIA,5,MONTEBELLO,5467,Rural,Sin información,2003,3,Mayor de 18 años,No,Civil,Muerto,Masculino,5.913333,-75.532778,Accidente por MAP,"(5.913333, -75.532778)",Sin Información
